1.01	-0.335	-0.261
1.015	-0.354	-0.277
1.02	-0.372	-0.293
1.025	-0.388	-0.31
1.03	-0.404	-0.326
1.035	-0.417	-0.343
1.04	-0.429	-0.359
1.045	-0.438	-0.374
1.05	-0.444	-0.388
1.055	-0.448	-0.401
1.06	-0.449	-0.412
1.065	-0.448	-0.42
1.07	-0.445	-0.426
1.075	-0.44	-0.429
1.08	-0.434	-0.43
1.085	-0.426	-0.428
1.09	-0.419	-0.423
1.095	-0.411	-0.416
1.1	-0.404	-0.406
1.105	-0.397	-0.393
1.11	-0.392	-0.379
1.115	-0.387	-0.363
1.12	-0.384	-0.345
1.125	-0.382	-0.327
1.13	-0.381	-0.308
1.135	-0.382	-0.289
1.14	-0.383	-0.27
1.145	-0.385	-0.253
1.15	-0.387	-0.236
1.155	-0.389	-0.221
1.16	-0.39	-0.208
1.165	-0.392	-0.197
1.17	-0.392	-0.188
1.175	-0.392	-0.181
1.18	-0.39	-0.176
1.185	-0.387	-0.173
1.19	-0.383	-0.172
1.195	-0.379	-0.172
1.2	-0.373	-0.173
1.205	-0.366	-0.175
1.21	-0.359	-0.176
1.215	-0.351	-0.178
1.22	-0.342	-0.179
1.225	-0.333	-0.18
1.23	-0.324	-0.18
1.235	-0.315	-0.178
1.24	-0.307	-0.175
1.245	-0.298	-0.171
1.25	-0.29	-0.166
1.255	-0.282	-0.159
1.26	-0.275	-0.151
1.265	-0.269	-0.142
1.27	-0.263	-0.132
1.275	-0.257	-0.122
1.28	-0.252	-0.111
1.285	-0.246	-0.101
1.29	-0.242	-0.091
1.295	-0.237	-0.081
1.3	-0.233	-0.073
1.305	-0.229	-0.065
1.31	-0.224	-0.06
1.315	-0.22	-0.056
1.32	-0.217	-0.055
1.325	-0.213	-0.056
1.33	-0.209	-0.059
1.335	-0.204	-0.064
1.34	-0.2	-0.072
1.345	-0.195	-0.082
1.35	-0.19	-0.094
1.355	-0.185	-0.107
1.36	-0.18	-0.122
1.365	-0.175	-0.139
1.37	-0.171	-0.156
1.375	-0.167	-0.175
1.38	-0.165	-0.193
1.385	-0.165	-0.212
1.39	-0.167	-0.231
1.395	-0.172	-0.25
1.4	-0.179	-0.268
1.405	-0.189	-0.286
1.41	-0.201	-0.303
1.415	-0.216	-0.321
1.42	-0.233	-0.338
1.425	-0.252	-0.354
1.43	-0.273	-0.371
1.435	-0.295	-0.388
1.44	-0.317	-0.405
1.445	-0.34	-0.422
1.45	-0.363	-0.438
1.455	-0.386	-0.455
1.46	-0.409	-0.47
1.465	-0.433	-0.485
1.47	-0.457	-0.5
1.475	-0.481	-0.512
1.48	-0.507	-0.523
1.485	-0.534	-0.532
1.49	-0.563	-0.539
1.495	-0.592	-0.544
1.5	-0.623	-0.546
1.505	-0.655	-0.547
1.51	-0.686	-0.545
1.515	-0.717	-0.542
1.52	-0.747	-0.537
1.525	-0.775	-0.532
1.53	-0.8	-0.525
1.535	-0.823	-0.518
1.54	-0.841	-0.511
1.545	-0.856	-0.503
1.55	-0.867	-0.496
1.555	-0.873	-0.488
1.56	-0.876	-0.481
1.565	-0.874	-0.472
1.57	-0.869	-0.464
1.575	-0.86	-0.454
1.58	-0.849	-0.443
1.585	-0.835	-0.431
1.59	-0.818	-0.418
1.595	-0.8	-0.402
1.6	-0.78	-0.386
1.605	-0.759	-0.367
1.61	-0.737	-0.347
1.615	-0.714	-0.326
1.62	-0.69	-0.304
1.625	-0.666	-0.281
1.63	-0.641	-0.257
1.635	-0.614	-0.233
1.64	-0.586	-0.209
1.645	-0.556	-0.186
1.65	-0.523	-0.163
1.655	-0.488	-0.142
1.66	-0.449	-0.121
1.665	-0.408	-0.103
1.67	-0.364	-0.085
1.675	-0.318	-0.07
1.68	-0.27	-0.057
1.685	-0.222	-0.047
1.69	-0.173	-0.039
1.695	-0.125	-0.034
1.7	-0.078	-0.032
1.705	-0.032	-0.033
1.71	0.011	-0.036
1.715	0.052	-0.042
1.72	0.09	-0.05
1.725	0.126	-0.06
1.73	0.16	-0.072
1.735	0.191	-0.085
1.74	0.221	-0.098
1.745	0.249	-0.112
1.75	0.275	-0.126
1.755	0.299	-0.14
1.76	0.323	-0.152
1.765	0.344	-0.163
1.77	0.364	-0.172
1.775	0.383	-0.18
1.78	0.399	-0.186
1.785	0.413	-0.191
1.79	0.424	-0.194
1.795	0.433	-0.197
1.8	0.439	-0.2
1.805	0.443	-0.203
1.81	0.443	-0.208
1.815	0.441	-0.214
1.82	0.437	-0.222
1.825	0.429	-0.232
1.83	0.419	-0.245
1.835	0.407	-0.261
1.84	0.391	-0.279
1.845	0.372	-0.3
1.85	0.349	-0.322
1.855	0.323	-0.346
1.86	0.293	-0.371
1.865	0.258	-0.397
1.87	0.219	-0.421
1.875	0.176	-0.446
1.88	0.128	-0.468
1.885	0.077	-0.489
1.89	0.023	-0.508
1.895	-0.035	-0.525
1.9	-0.094	-0.538
1.905	-0.154	-0.549
1.91	-0.214	-0.558
1.915	-0.274	-0.564
1.92	-0.332	-0.567
1.925	-0.39	-0.569
1.93	-0.445	-0.568
1.935	-0.498	-0.566
1.94	-0.548	-0.563
1.945	-0.597	-0.559
1.95	-0.643	-0.554
1.955	-0.688	-0.549
1.96	-0.73	-0.544
1.965	-0.771	-0.538
1.97	-0.81	-0.533
1.975	-0.847	-0.527
1.98	-0.882	-0.522
1.985	-0.915	-0.517
1.99	-0.946	-0.512
1.995	-0.974	-0.508
2	-0.999	-0.504
2.005	-1.02	-0.5
2.01	-1.037	-0.496
2.015	-1.05	-0.493
2.02	-1.058	-0.489
2.025	-1.062	-0.485
2.03	-1.061	-0.481
2.035	-1.054	-0.476
2.04	-1.043	-0.471
2.045	-1.026	-0.465
2.05	-1.005	-0.458
2.055	-0.979	-0.451
2.06	-0.949	-0.442
2.065	-0.915	-0.432
2.07	-0.877	-0.421
2.075	-0.836	-0.409
2.08	-0.793	-0.395
2.085	-0.748	-0.38
2.09	-0.701	-0.363
2.095	-0.654	-0.344
2.1	-0.608	-0.325
2.105	-0.562	-0.304
2.11	-0.517	-0.283
2.115	-0.473	-0.261
2.12	-0.432	-0.238
2.125	-0.392	-0.215
2.13	-0.355	-0.192
2.135	-0.319	-0.17
2.14	-0.285	-0.149
2.145	-0.253	-0.128
2.15	-0.221	-0.109
2.155	-0.19	-0.092
2.16	-0.158	-0.076
2.165	-0.126	-0.062
2.17	-0.094	-0.05
2.175	-0.06	-0.04
2.18	-0.025	-0.031
2.185	0.011	-0.025
2.19	0.049	-0.02
2.195	0.088	-0.016
2.2	0.127	-0.013
2.205	0.166	-0.012
2.21	0.206	-0.012
2.215	0.244	-0.012
2.22	0.281	-0.014
2.225	0.315	-0.016
2.23	0.347	-0.018
2.235	0.376	-0.022
2.24	0.4	-0.026
2.245	0.42	-0.03
2.25	0.435	-0.035
2.255	0.443	-0.04
2.26	0.446	-0.046
2.265	0.443	-0.053
2.27	0.433	-0.06
2.275	0.417	-0.068
2.28	0.395	-0.078
2.285	0.368	-0.088
2.29	0.336	-0.1
2.295	0.3	-0.113
2.3	0.261	-0.127
2.305	0.219	-0.142
2.31	0.176	-0.158
2.315	0.131	-0.175
2.32	0.086	-0.193
2.325	0.041	-0.212
2.33	-0.004	-0.23
2.335	-0.048	-0.249
2.34	-0.092	-0.267
2.345	-0.136	-0.284
2.35	-0.18	-0.301
2.355	-0.225	-0.316
2.36	-0.269	-0.331
2.365	-0.315	-0.344
2.37	-0.362	-0.357
2.375	-0.41	-0.368
2.38	-0.459	-0.379
2.385	-0.509	-0.388
2.39	-0.56	-0.398
2.395	-0.612	-0.407
2.4	-0.663	-0.415
2.405	-0.713	-0.424
2.41	-0.761	-0.432
2.415	-0.808	-0.44
2.42	-0.852	-0.448
2.425	-0.893	-0.455
2.43	-0.932	-0.463
2.435	-0.967	-0.47
2.44	-0.999	-0.476
2.445	-1.028	-0.482
2.45	-1.053	-0.487
2.455	-1.076	-0.49
2.46	-1.096	-0.491
2.465	-1.113	-0.491
2.47	-1.128	-0.488
2.475	-1.14	-0.483
2.48	-1.15	-0.476
2.485	-1.157	-0.466
2.49	-1.161	-0.454
2.495	-1.163	-0.439
2.5	-1.163	-0.422
2.505	-1.16	-0.404
2.51	-1.154	-0.383
2.515	-1.146	-0.361
2.52	-1.136	-0.338
2.525	-1.124	-0.314
2.53	-1.109	-0.29
2.535	-1.091	-0.267
2.54	-1.071	-0.244
2.545	-1.048	-0.222
2.55	-1.023	-0.201
2.555	-0.994	-0.182
2.56	-0.962	-0.165
2.565	-0.926	-0.15
2.57	-0.886	-0.137
2.575	-0.842	-0.126
2.58	-0.794	-0.117
2.585	-0.742	-0.11
2.59	-0.686	-0.104
2.595	-0.626	-0.099
2.6	-0.563	-0.096
2.605	-0.497	-0.093
2.61	-0.43	-0.09
2.615	-0.36	-0.089
2.62	-0.29	-0.087
2.625	-0.219	-0.086
2.63	-0.149	-0.084
2.635	-0.08	-0.084
2.64	-0.012	-0.083
2.645	0.053	-0.083
2.65	0.116	-0.084
2.655	0.175	-0.085
2.66	0.231	-0.088
2.665	0.283	-0.092
2.67	0.33	-0.097
2.675	0.374	-0.104
2.68	0.413	-0.112
2.685	0.448	-0.122
2.69	0.478	-0.134
2.695	0.504	-0.148
2.7	0.526	-0.164
2.705	0.543	-0.181
2.71	0.556	-0.199
2.715	0.565	-0.219
2.72	0.57	-0.239
2.725	0.573	-0.26
2.73	0.571	-0.281
2.735	0.567	-0.301
2.74	0.56	-0.321
2.745	0.55	-0.34
2.75	0.536	-0.358
2.755	0.52	-0.374
2.76	0.5	-0.388
2.765	0.476	-0.401
2.77	0.448	-0.412
2.775	0.417	-0.421
2.78	0.382	-0.427
2.785	0.343	-0.432
2.79	0.301	-0.434
2.795	0.256	-0.434
2.8	0.208	-0.433
2.805	0.157	-0.429
2.81	0.105	-0.424
2.815	0.052	-0.417
2.82	-0.001	-0.409
2.825	-0.055	-0.399
2.83	-0.109	-0.389
2.835	-0.163	-0.378
2.84	-0.217	-0.367
2.845	-0.27	-0.356
2.85	-0.323	-0.345
2.855	-0.376	-0.334
2.86	-0.429	-0.324
2.865	-0.482	-0.314
2.87	-0.535	-0.305
2.875	-0.587	-0.297
2.88	-0.639	-0.289
2.885	-0.69	-0.281
2.89	-0.739	-0.274
2.895	-0.787	-0.267
2.9	-0.833	-0.26
2.905	-0.876	-0.254
2.91	-0.917	-0.247
2.915	-0.954	-0.241
2.92	-0.988	-0.234
2.925	-1.018	-0.227
2.93	-1.045	-0.219
2.935	-1.067	-0.212
2.94	-1.084	-0.203
2.945	-1.098	-0.194
2.95	-1.107	-0.184
2.955	-1.111	-0.174
2.96	-1.111	-0.162
2.965	-1.107	-0.15
2.97	-1.098	-0.138
2.975	-1.086	-0.126
2.98	-1.069	-0.114
2.985	-1.049	-0.102
2.99	-1.025	-0.091
2.995	-0.998	-0.081
3	-0.967	-0.073
3.005	-0.932	-0.067
3.01	-0.894	-0.063
3.015	-0.853	-0.062
3.02	-0.809	-0.062
3.025	-0.763	-0.065
3.03	-0.714	-0.07
3.035	-0.663	-0.077
3.04	-0.61	-0.085
3.045	-0.556	-0.094
3.05	-0.501	-0.104
3.055	-0.446	-0.114
3.06	-0.39	-0.124
3.065	-0.335	-0.134
3.07	-0.281	-0.143
3.075	-0.228	-0.15
3.08	-0.177	-0.157
3.085	-0.127	-0.163
3.09	-0.08	-0.167
3.095	-0.036	-0.171
3.1	0.006	-0.173
3.105	0.045	-0.175
3.11	0.081	-0.177
3.115	0.114	-0.179
3.12	0.145	-0.181
3.125	0.172	-0.183
3.13	0.197	-0.187
3.135	0.218	-0.191
3.14	0.238	-0.197
3.145	0.255	-0.204
3.15	0.27	-0.213
3.155	0.283	-0.223
3.16	0.293	-0.235
3.165	0.302	-0.249
3.17	0.308	-0.264
3.175	0.313	-0.28
3.18	0.315	-0.296
3.185	0.314	-0.313
3.19	0.312	-0.33
3.195	0.307	-0.346
3.2	0.301	-0.361
3.205	0.292	-0.375
3.21	0.282	-0.387
3.215	0.27	-0.397
3.22	0.256	-0.405
3.225	0.241	-0.411
3.23	0.226	-0.414
3.235	0.21	-0.416
3.24	0.193	-0.415
3.245	0.176	-0.412
3.25	0.16	-0.407
3.255	0.144	-0.402
3.26	0.129	-0.395
3.265	0.116	-0.388
3.27	0.103	-0.38
3.275	0.092	-0.373
3.28	0.083	-0.367
3.285	0.076	-0.362
3.29	0.07	-0.358
3.295	0.065	-0.356
3.3	0.062	-0.355
3.305	0.059	-0.357
3.31	0.055	-0.36
3.315	0.051	-0.365
3.32	0.045	-0.372
3.325	0.037	-0.38
3.33	0.025	-0.389
3.335	0.011	-0.398
3.34	-0.008	-0.408
3.345	-0.031	-0.418
3.35	-0.059	-0.426
3.355	-0.089	-0.434
3.36	-0.124	-0.441
3.365	-0.161	-0.446
3.37	-0.2	-0.448
3.375	-0.241	-0.448
3.38	-0.282	-0.446
3.385	-0.324	-0.442
3.39	-0.365	-0.435
3.395	-0.406	-0.425
3.4	-0.445	-0.414
3.405	-0.483	-0.4
3.41	-0.519	-0.384
3.415	-0.553	-0.367
3.42	-0.585	-0.348
3.425	-0.616	-0.328
3.43	-0.644	-0.307
3.435	-0.67	-0.285
3.44	-0.694	-0.263
3.445	-0.716	-0.241
3.45	-0.735	-0.219
3.455	-0.751	-0.198
3.46	-0.764	-0.177
3.465	-0.773	-0.158
3.47	-0.778	-0.139
3.475	-0.779	-0.122
3.48	-0.776	-0.106
3.485	-0.769	-0.091
3.49	-0.757	-0.077
3.495	-0.741	-0.064
3.5	-0.72	-0.052
3.505	-0.694	-0.041
3.51	-0.664	-0.031
3.515	-0.63	-0.021
3.52	-0.593	-0.012
3.525	-0.553	-0.003
3.53	-0.51	0.006
3.535	-0.465	0.014
3.54	-0.418	0.023
3.545	-0.371	0.031
3.55	-0.323	0.04
3.555	-0.275	0.048
3.56	-0.228	0.055
3.565	-0.181	0.061
3.57	-0.135	0.067
3.575	-0.091	0.07
3.58	-0.047	0.072
3.585	-0.006	0.071
3.59	0.034	0.068
3.595	0.072	0.061
3.6	0.108	0.052
3.605	0.141	0.038
3.61	0.171	0.022
3.615	0.198	0.001
3.62	0.223	-0.022
3.625	0.244	-0.049
3.63	0.262	-0.079
3.635	0.278	-0.112
3.64	0.291	-0.147
3.645	0.302	-0.184
3.65	0.311	-0.222
3.655	0.318	-0.261
3.66	0.323	-0.3
3.665	0.327	-0.339
3.67	0.328	-0.376
3.675	0.327	-0.412
3.68	0.323	-0.445
3.685	0.317	-0.476
3.69	0.306	-0.503
3.695	0.292	-0.526
3.7	0.272	-0.546
3.705	0.248	-0.561
3.71	0.219	-0.573
3.715	0.184	-0.581
3.72	0.143	-0.586
3.725	0.096	-0.588
3.73	0.044	-0.587
3.735	-0.013	-0.584
3.74	-0.075	-0.58
3.745	-0.142	-0.576
3.75	-0.213	-0.571
3.755	-0.287	-0.566
3.76	-0.364	-0.562
3.765	-0.443	-0.559
3.77	-0.522	-0.557
3.775	-0.602	-0.556
3.78	-0.68	-0.557
3.785	-0.756	-0.558
3.79	-0.829	-0.561
3.795	-0.899	-0.564
3.8	-0.963	-0.567
3.805	-1.021	-0.569
3.81	-1.074	-0.571
3.815	-1.12	-0.571
3.82	-1.159	-0.57
3.825	-1.193	-0.566
3.83	-1.22	-0.56
3.835	-1.241	-0.55
3.84	-1.256	-0.537
3.845	-1.266	-0.521
3.85	-1.272	-0.501
3.855	-1.273	-0.477
3.86	-1.271	-0.45
3.865	-1.266	-0.421
3.87	-1.259	-0.389
3.875	-1.25	-0.356
3.88	-1.241	-0.323
3.885	-1.231	-0.289
3.89	-1.221	-0.255
3.895	-1.211	-0.223
3.9	-1.201	-0.192
3.905	-1.19	-0.164
3.91	-1.179	-0.139
3.915	-1.166	-0.116
3.92	-1.151	-0.097
3.925	-1.134	-0.082
3.93	-1.114	-0.07
3.935	-1.091	-0.062
3.94	-1.065	-0.057
3.945	-1.036	-0.056
3.95	-1.003	-0.057
3.955	-0.968	-0.061
3.96	-0.93	-0.067
3.965	-0.89	-0.074
3.97	-0.849	-0.082
3.975	-0.806	-0.091
3.98	-0.763	-0.1
3.985	-0.72	-0.11
3.99	-0.677	-0.119
3.995	-0.634	-0.128
4	-0.592	-0.137
4.005	-0.551	-0.146
4.01	-0.51	-0.155
4.015	-0.47	-0.165
4.02	-0.429	-0.175
4.025	-0.389	-0.185
4.03	-0.349	-0.197
4.035	-0.308	-0.21
4.04	-0.267	-0.225
4.045	-0.224	-0.241
4.05	-0.179	-0.258
4.055	-0.133	-0.277
4.06	-0.085	-0.296
4.065	-0.034	-0.317
4.07	0.018	-0.338
4.075	0.073	-0.36
4.08	0.129	-0.382
4.085	0.187	-0.403
4.09	0.246	-0.424
4.095	0.306	-0.444
4.1	0.367	-0.463
4.105	0.427	-0.48
4.11	0.488	-0.495
4.115	0.547	-0.507
4.12	0.604	-0.517
4.125	0.659	-0.525
4.13	0.712	-0.529
4.135	0.761	-0.531
4.14	0.806	-0.53
4.145	0.846	-0.525
4.15	0.881	-0.517
4.155	0.91	-0.505
4.16	0.932	-0.491
4.165	0.947	-0.473
4.17	0.954	-0.452
4.175	0.951	-0.429
4.18	0.94	-0.403
4.185	0.919	-0.375
4.19	0.888	-0.346
4.195	0.849	-0.314
4.2	0.8	-0.281
4.205	0.743	-0.248
4.21	0.679	-0.214
4.215	0.608	-0.18
4.22	0.531	-0.146
4.225	0.449	-0.113
4.23	0.364	-0.082
4.235	0.276	-0.051
4.24	0.186	-0.023
4.245	0.096	0.003
4.25	0.005	0.028
4.255	-0.085	0.049
4.26	-0.175	0.068
4.265	-0.265	0.084
4.27	-0.353	0.098
4.275	-0.442	0.109
4.28	-0.53	0.118
4.285	-0.617	0.125
4.29	-0.704	0.129
4.295	-0.791	0.132
4.3	-0.876	0.133
4.305	-0.96	0.133
4.31	-1.042	0.133
4.315	-1.12	0.131
4.32	-1.196	0.129
4.325	-1.268	0.126
4.33	-1.334	0.123
4.335	-1.396	0.12
4.34	-1.452	0.115
4.345	-1.501	0.111
4.35	-1.543	0.105
4.355	-1.579	0.099
4.36	-1.607	0.091
4.365	-1.627	0.081
4.37	-1.64	0.07
4.375	-1.645	0.056
4.38	-1.642	0.04
4.385	-1.632	0.022
4.39	-1.615	0.0003803
4.395	-1.591	-0.024
4.4	-1.561	-0.05
4.405	-1.526	-0.08
