-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-5.396E-05
-2.775E-05	-0.0002724
6.312E-05	-0.002
0.001	-0.006
0.002	-0.013
0.004	-0.025
0.006	-0.041
0.009	-0.06
0.012	-0.078
0.015	-0.093
0.016	-0.102
0.015	-0.104
0.013	-0.099
0.01	-0.089
0.006	-0.076
0.002	-0.063
-0.001	-0.051
-0.002	-0.042
-0.002	-0.037
-4.188E-05	-0.034
0.004	-0.032
0.007	-0.027
0.01	-0.017
0.011	-0.006
0.007	0.006
-0.001	0.015
-0.015	0.02
-0.034	0.023
-0.056	0.027
-0.078	0.038
-0.099	0.058
-0.116	0.087
-0.127	0.123
-0.132	0.164
-0.131	0.208
-0.123	0.254
-0.11	0.301
-0.092	0.348
-0.071	0.391
-0.047	0.426
-0.021	0.447
0.005	0.452
0.03	0.44
0.052	0.409
0.07	0.362
0.084	0.301
0.094	0.233
0.101	0.161
0.108	0.088
0.117	0.018
0.129	-0.047
0.146	-0.104
0.167	-0.151
0.191	-0.19
0.214	-0.221
0.234	-0.246
0.249	-0.267
0.257	-0.285
0.258	-0.304
0.252	-0.325
0.238	-0.35
0.218	-0.379
0.191	-0.412
0.157	-0.445
0.117	-0.478
0.071	-0.506
0.019	-0.526
-0.035	-0.535
-0.091	-0.532
-0.146	-0.517
-0.197	-0.488
-0.242	-0.448
-0.279	-0.394
-0.308	-0.328
-0.329	-0.25
-0.342	-0.161
-0.348	-0.064
-0.348	0.038
-0.344	0.14
-0.337	0.239
-0.328	0.331
-0.317	0.413
-0.305	0.484
-0.292	0.543
-0.278	0.589
-0.263	0.623
-0.246	0.643
-0.226	0.649
-0.201	0.64
-0.171	0.613
-0.135	0.568
-0.092	0.506
-0.043	0.431
0.01	0.346
0.066	0.256
0.121	0.167
0.175	0.082
0.223	0.005
0.263	-0.061
0.294	-0.116
0.315	-0.162
0.326	-0.199
0.329	-0.231
0.325	-0.26
0.318	-0.288
0.31	-0.317
0.303	-0.346
0.297	-0.378
0.294	-0.412
0.292	-0.45
0.29	-0.488
0.286	-0.523
0.278	-0.552
0.264	-0.569
0.242	-0.571
0.212	-0.555
0.173	-0.521
0.127	-0.467
0.076	-0.398
0.022	-0.316
-0.031	-0.226
-0.082	-0.132
-0.129	-0.038
-0.169	0.051
-0.203	0.132
-0.229	0.203
-0.249	0.262
-0.263	0.309
-0.272	0.347
-0.277	0.378
-0.28	0.403
-0.281	0.423
-0.281	0.44
-0.282	0.456
-0.283	0.468
-0.284	0.479
-0.284	0.487
-0.283	0.492
-0.279	0.494
-0.27	0.492
-0.254	0.487
-0.23	0.478
-0.197	0.465
-0.155	0.445
-0.107	0.417
-0.054	0.379
0.002	0.332
0.056	0.276
0.106	0.213
0.15	0.146
0.188	0.078
0.218	0.011
0.242	-0.053
0.262	-0.113
0.278	-0.168
0.293	-0.216
0.307	-0.257
0.32	-0.292
0.334	-0.323
0.347	-0.353
0.359	-0.381
0.368	-0.408
0.372	-0.433
0.372	-0.455
0.363	-0.474
0.346	-0.488
0.319	-0.498
0.282	-0.507
0.235	-0.518
0.18	-0.534
0.118	-0.556
0.053	-0.584
-0.015	-0.615
-0.081	-0.645
-0.145	-0.67
-0.204	-0.686
-0.257	-0.691
-0.303	-0.683
-0.343	-0.66
-0.378	-0.618
-0.409	-0.557
-0.439	-0.475
-0.468	-0.372
-0.495	-0.252
-0.519	-0.118
-0.538	0.023
-0.55	0.165
-0.553	0.299
-0.546	0.419
-0.526	0.519
-0.496	0.599
-0.455	0.661
-0.405	0.707
-0.348	0.739
-0.287	0.76
-0.222	0.77
-0.157	0.771
-0.092	0.764
-0.027	0.751
0.036	0.733
0.099	0.713
0.16	0.692
0.221	0.668
0.282	0.639
0.342	0.603
0.4	0.558
0.456	0.502
0.509	0.438
0.556	0.366
0.597	0.287
0.629	0.202
0.651	0.11
0.661	0.01
0.66	-0.097
0.645	-0.211
0.616	-0.327
0.573	-0.442
0.518	-0.548
0.452	-0.64
0.378	-0.715
0.298	-0.772
0.216	-0.813
0.132	-0.843
0.048	-0.863
-0.034	-0.875
-0.115	-0.877
-0.195	-0.868
-0.274	-0.846
